"County","Race","Candidate","Party","Votes","PercentageOfTotalVotes","JurisdictionName"
"Adams","Statewide Initiative Measure No. 1185 Concerns tax and fee increases imposed by state government","Yes","","2531","73.0869","Statewide"
"Adams","Statewide Initiative Measure No. 1185 Concerns tax and fee increases imposed by state government","No","","932","26.9131","Statewide"
"Adams","Statewide Initiative Measure No. 1240 Concerns creation of a public charter school system","Yes","","1661","47.7848","Statewide"
"Adams","Statewide Initiative Measure No. 1240 Concerns creation of a public charter school system","No","","1815","52.2152","Statewide"
"Adams","Statewide Referendum Measure No. 74 Concerns marriage for same-sex couples","Approved","","956","27.0209","Statewide"
"Adams","Statewide Referendum Measure No. 74 Concerns marriage for same-sex couples","Rejected","","2582","72.9791","Statewide"
"Adams","Statewide Initiative Measure No. 502 Concerns marijuana","Yes","","1384","39.096","Statewide"
"Adams","Statewide Initiative Measure No. 502 Concerns marijuana","No","","2156","60.904","Statewide"
"Adams","Statewide Engrossed Senate Joint Resolution No. 8221 Concerns implementing the Commission on State Debt recommendations regarding Washington's debt limit","Approved","","2050","63.0769","Statewide"
"Adams","Statewide Engrossed Senate Joint Resolution No. 8221 Concerns implementing the Commission on State Debt recommendations regarding Washington's debt limit","Rejected","","1200","36.9231","Statewide"
"Adams","Statewide Senate Joint Resolution No. 8223 Concerns investments by the University of Washington and Washington State University","Approved","","1219","36.2582","Statewide"
"Adams","Statewide Senate Joint Resolution No. 8223 Concerns investments by the University of Washington and Washington State University","Rejected","","2143","63.7418","Statewide"
"Adams","Washington State Advisory Vote No. 1 (Engrossed Senate Bill 6635) Concerns a B&O tax deduction for certain financial institutions' interest on residential loans","Repealed","","2312","72.25","Washington State"
"Adams","Washington State Advisory Vote No. 1 (Engrossed Senate Bill 6635) Concerns a B&O tax deduction for certain financial institutions' interest on residential loans","Maintained","","888","27.75","Washington State"
"Adams","Washington State Advisory Vote No. 2 (Substitute House Bill 2590) Concerns expiration of a tax on possession of petroleum products","Repealed","","2179","67.7971","Washington State"
"Adams","Washington State Advisory Vote No. 2 (Substitute House Bill 2590) Concerns expiration of a tax on possession of petroleum products","Maintained","","1035","32.2029","Washington State"
"Adams","United States President/Vice President","Barack Obama / Joe Biden","Democratic Party Nominees","1085","30.2313","United States"
"Adams","United States President/Vice President","Mitt Romney / Paul Ryan","Republican Party Nominees","2451","68.292","United States"
